# Category Playlist Files
# Generated: 2026-09-04 22:04:41
# Total Categories: 16
# Format: Category Name | Filename | Channel Count
================================================================================
قنوات ART Group | art_channels.m3u | 5 channels
قنوات اطفال Kids TV | kids_channels.m3u | 8 channels
قنوات الاردن | jordan_channels.m3u | 5 channels
قنوات الامارات - دبي وابوظبي | uae_channels.m3u | 12 channels
قنوات الجزائر | algeria_channels.m3u | 7 channels
قنوات السعودية - SBC وMBC والرياضية | saudi_channels.m3u | 28 channels
قنوات الكويت | kuwait_channels.m3u | 12 channels
قنوات المغرب | morocco_channels.m3u | 14 channels
قنوات ام بي سي MBC Group | mbc_channels.m3u | 2 channels
قنوات تونس | tunisia_channels.m3u | 12 channels
قنوات روتانا Rotana Group | rotana_channels.m3u | 7 channels
قنوات رياضية - BeIN وSSC وغيرها | sports_channels.m3u | 16 channels
قنوات عربية عالمية | arabic_channels.m3u | 19 channels
قنوات قطر - الجزيرة | qatar_channels.m3u | 22 channels
قنوات لبنان | lebanon_channels.m3u | 18 channels
قنوات مصرية - CBC وON وAlNahartv | egypt_channels.m3u | 61 channels
